client_name,group_name,subgroup_name,product_name,platform_campaign_name,campaign_name,creative,ad_description,image_url,ad_url,preview_url,ad_group,day,impressions,clicks,direct_conversions,view_through_conversions,in_platform_leads,total_conversions,cost,budget,video_starts,video_completions,video_avg
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20917700864,,,,,Central Washington University - UG - YouTube - Awareness - Instream (Skippable),2024-02-08,6265,1,0,0,0,0,,87.07,6224,3879,61.532
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20921238679,,,,,Central Washington University - UG - YouTube - Awareness - Discovery (In-Feed),2024-02-09,25152,0,0,0,0,0,,63.31,346,112,1.411
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20917700864,,,,,Central Washington University - UG - YouTube - Awareness - Instream (Skippable),2024-02-09,6026,1,0,0,0,0,,87.6,5993,3798,62.894
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20921238679,,,,,Central Washington University - UG - YouTube - Awareness - Discovery (In-Feed),2024-02-10,35776,0,0,0,0,0,,63.25,450,114,1.277
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20917700864,,,,,Central Washington University - UG - YouTube - Awareness - Instream (Skippable),2024-02-10,6373,0,0,0,0,0,,88.06,6340,3822,59.94
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20921238679,,,,,Central Washington University - UG - YouTube - Awareness - Discovery (In-Feed),2024-02-11,40379,0,0,0,0,0,,62.68,596,118,1.506
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20917700864,,,,,Central Washington University - UG - YouTube - Awareness - Instream (Skippable),2024-02-11,6016,2,0,0,0,0,,88.97,5989,3738,62.168
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20921238679,,,,,Central Washington University - UG - YouTube - Awareness - Discovery (In-Feed),2024-02-12,36101,0,0,0,0,0,,63.56,543,105,1.537
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20917700864,,,,,Central Washington University - UG - YouTube - Awareness - Instream (Skippable),2024-02-12,5968,2,0,0,0,0,,88.03,5916,3607,60.389
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20921238679,,,,,Central Washington University - UG - YouTube - Awareness - Discovery (In-Feed),2024-02-13,21927,0,0,0,0,0,,39.14,336,73,1.546
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20917700864,,,,,Central Washington University - UG - YouTube - Awareness - Instream (Skippable),2024-02-13,3650,0,0,0,0,0,,55.87,3627,2361,64.63
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20921238679,,,,,Central Washington University - UG - YouTube - Awareness - Discovery (In-Feed),2024-02-15,32128,0,0,0,0,0,,66.22,506,117,1.603
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20917700864,,,,,Central Washington University - UG - YouTube - Awareness - Instream (Skippable),2024-02-15,5989,2,0,0,0,0,,88.07,5952,3317,55.201
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20921238679,,,,,Central Washington University - UG - YouTube - Awareness - Discovery (In-Feed),2024-02-16,37285,0,0,0,0,0,,64.99,600,136,1.631
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20917700864,,,,,Central Washington University - UG - YouTube - Awareness - Instream (Skippable),2024-02-16,5640,1,0,0,0,0,,88.44,5599,3235,57.34
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20921238679,,,,,Central Washington University - UG - YouTube - Awareness - Discovery (In-Feed),2024-02-17,35488,0,0,0,0,0,,65.31,564,132,1.626
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20917700864,,,,,Central Washington University - UG - YouTube - Awareness - Instream (Skippable),2024-02-17,6281,6,0,0,0,0,,89.14,6255,3780,60.277
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20921238679,,,,,Central Washington University - UG - YouTube - Awareness - Discovery (In-Feed),2024-02-18,36647,0,0,0,0,0,,63.69,623,163,1.725
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20917700864,,,,,Central Washington University - UG - YouTube - Awareness - Instream (Skippable),2024-02-18,6567,6,0,0,0,0,,89.83,6539,4046,61.626
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20921238679,,,,,Central Washington University - UG - YouTube - Awareness - Discovery (In-Feed),2024-02-19,37559,0,0,0,0,0,,64.74,609,130,1.664
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20917700864,,,,,Central Washington University - UG - YouTube - Awareness - Instream (Skippable),2024-02-19,6762,2,0,0,0,0,,89.03,6738,4176,61.757
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20921238679,,,,,Central Washington University - UG - YouTube - Awareness - Discovery (In-Feed),2024-02-20,37413,0,0,0,0,0,,67.68,635,140,1.737
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20917700864,,,,,Central Washington University - UG - YouTube - Awareness - Instream (Skippable),2024-02-20,6109,4,0,0,0,0,,86.29,6075,3727,60.894
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20921238679,,,,,Central Washington University - UG - YouTube - Awareness - Discovery (In-Feed),2024-02-21,38186,0,0,0,0,0,,70.78,609,138,1.637
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20917700864,,,,,Central Washington University - UG - YouTube - Awareness - Instream (Skippable),2024-02-21,5867,3,0,0,0,0,,83.51,5827,3699,62.979
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20921238679,,,,,Central Washington University - UG - YouTube - Awareness - Discovery (In-Feed),2024-02-22,36448,0,0,0,0,0,,67.75,589,127,1.665
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20917700864,,,,,Central Washington University - UG - YouTube - Awareness - Instream (Skippable),2024-02-22,6286,3,0,0,0,0,,87.31,6249,3876,61.534
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20921238679,,,,,Central Washington University - UG - YouTube - Awareness - Discovery (In-Feed),2024-02-23,39633,0,0,0,0,0,,66.74,574,137,1.468
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20917700864,,,,,Central Washington University - UG - YouTube - Awareness - Instream (Skippable),2024-02-23,5780,4,0,0,0,0,,87.54,5753,3671,63.478
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20921238679,,,,,Central Washington University - UG - YouTube - Awareness - Discovery (In-Feed),2024-02-24,40509,0,0,0,0,0,,66.99,561,134,1.419
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20917700864,,,,,Central Washington University - UG - YouTube - Awareness - Instream (Skippable),2024-02-24,6361,7,0,0,0,0,,87.89,6334,3950,62.223
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20921238679,,,,,Central Washington University - UG - YouTube - Awareness - Discovery (In-Feed),2024-02-25,37510,0,0,0,0,0,,67.01,572,131,1.554
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20917700864,,,,,Central Washington University - UG - YouTube - Awareness - Instream (Skippable),2024-02-25,6468,4,0,0,0,0,,87.04,6442,4004,61.858
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20921238679,,,,,Central Washington University - UG - YouTube - Awareness - Discovery (In-Feed),2024-02-26,37908,0,0,0,0,0,,71.35,494,112,1.324
